player_id,timestamp,score,level,aliens_destroyed,shots_fired,accuracy,time_played_seconds,lives_remaining,player_x_position,player_movement,powerups_collected,game_completed,device_type,browser,os,session_id
41ed4bc0,2025-03-30T05:31:48.863582,3666,5,32,69,0.21,543,0,100,right,5,True,tablet,safari,windows,ce9ec87c-20c5-4036-86e6-d171d2693315
d0b27bff,2025-03-30T06:08:49.863582,5221,8,48,91,0.09,181,1,198,stationary,4,True,tablet,chrome,android,3989ddac-f1d8-4335-b09e-43923427d602
baf3fb58,2025-03-30T06:17:51.863582,5465,3,12,98,0.85,189,3,797,right,4,True,tablet,chrome,macos,443db257-3682-4e5f-b0c4-b261b3cd7be1
7d7335a2,2025-03-30T09:31:47.863582,897,7,16,41,0.52,346,0,660,stationary,4,False,tablet,edge,android,196e4b3c-a440-469b-9ec8-2ba6ac116dd5
938de46f,2025-03-29T22:32:46.863582,4170,4,10,79,0.04,243,3,71,left,3,False,mobile,edge,windows,2e27b7f3-1927-4718-a879-94ad3d72d19b
d075afa0,2025-03-30T05:28:34.863582,9994,7,24,41,0.3,590,0,674,stationary,3,True,desktop,edge,ios,de9893c2-bfcd-453f-97ef-84afb3afcf1b
c4dcae41,2025-03-29T21:49:18.863582,7308,9,7,20,0.05,219,1,706,left,2,True,mobile,edge,linux,d7982d9d-ac88-45a0-8d01-8d13d461d598
d41f049b,2025-03-30T02:39:38.863582,8711,2,6,39,0.28,163,2,355,right,1,True,tablet,firefox,ios,4e69186f-f3d9-4d68-8431-e7bd21774e29
e50d6462,2025-03-30T09:02:46.863582,5793,1,5,17,0.97,169,3,701,right,4,True,desktop,edge,windows,befdab3b-c896-4f83-8feb-9bf6dfbaaed8
74710fea,2025-03-30T06:57:12.863582,3822,4,15,38,0.05,65,3,443,stationary,2,True,mobile,edge,linux,c2e67aab-787b-4d1a-8eb8-ccc77b2af0bb
fdab1e4c,2025-03-30T07:05:00.863582,6117,1,11,12,0.22,284,3,632,stationary,5,False,desktop,edge,linux,ab763335-54cd-4765-ba77-1d7a2722e47d
68395a20,2025-03-30T03:25:53.863582,208,8,42,19,0.78,224,2,18,right,2,False,desktop,safari,linux,8c594067-db70-4e94-a0ea-226f7195952d
1b095c08,2025-03-30T10:27:29.863582,1597,7,1,48,0.97,235,1,355,stationary,4,True,tablet,firefox,macos,9dd0adf0-8fc6-4385-a6df-06da6bf79b5c
975f6073,2025-03-30T09:54:27.863582,474,5,24,81,0.88,548,3,773,stationary,5,True,tablet,firefox,windows,4fa3eb4c-69a3-44da-b815-6e0046e0df2c
6249665c,2025-03-30T02:26:26.863582,7877,6,25,94,0.03,289,0,468,right,0,False,desktop,chrome,android,d6c63898-8bad-4bd4-8d6e-00978def6677
affd514e,2025-03-29T23:09:20.863582,2521,1,45,35,0.12,172,0,596,stationary,1,True,tablet,safari,android,3a3dd4b1-bd87-429f-8f54-14b9e8ebd0c9
344474b0,2025-03-30T05:51:48.863582,9933,3,8,34,0.25,558,2,427,left,0,False,mobile,firefox,macos,48fe5c0c-afb8-4aa0-8cdd-7e9596e611eb
c011d113,2025-03-30T07:42:38.863582,7228,9,47,97,0.56,200,0,501,stationary,1,True,tablet,firefox,ios,06cece0f-25b7-487d-b1bb-60c32d5c923e
7273d39b,2025-03-29T23:04:07.863582,2359,6,32,49,0.56,120,2,328,left,4,False,desktop,firefox,linux,b2e9be57-e6e0-46f7-a39b-363fd940d4e5
c34a321d,2025-03-30T01:57:41.863582,9905,7,27,98,0.4,565,1,159,left,4,False,tablet,safari,ios,29c53378-6a5d-4eac-8fc0-8328ff61c193
273261ea,2025-03-30T04:19:17.863582,5103,5,10,44,0.46,458,0,470,stationary,3,False,mobile,chrome,windows,66297623-6a67-43aa-b6f9-43409bfeb943
e684abfe,2025-03-30T01:04:14.863582,4754,2,27,25,0.73,534,2,347,stationary,2,True,tablet,safari,linux,4df0ba0b-062e-42f5-88c5-2e7c3145d4bd
3d245dd1,2025-03-30T08:51:52.863582,5378,2,6,93,0.73,178,0,317,stationary,4,False,tablet,edge,android,64e8d9bf-919e-42a2-9213-de1d19f51400
4b09422a,2025-03-29T22:26:40.863582,6508,8,19,8,0.56,209,0,590,left,0,True,tablet,safari,linux,14575400-c1c7-4845-ac8b-7a57de041628
a74a12c1,2025-03-30T03:36:12.863582,6739,8,7,70,0.27,500,0,322,left,5,True,tablet,chrome,android,cadd6ff8-9c52-4e86-bb6e-816106c8f44b
c84d9e3e,2025-03-30T08:47:05.863582,17,9,38,16,0.82,430,2,719,stationary,4,True,tablet,firefox,windows,9bcdee62-a074-4909-a3d7-ba70f954150b
ad219c01,2025-03-29T22:36:55.863582,6316,2,44,17,0.03,542,2,124,right,4,False,tablet,chrome,ios,f499b2ae-2de8-47ad-91c6-8494b04594b2
96fdee2e,2025-03-30T02:20:39.863582,4182,8,26,79,0.31,369,3,67,stationary,0,True,mobile,chrome,ios,653ba385-5e3d-4757-b234-675ef17f1348
66e10f16,2025-03-30T02:45:27.863582,6317,9,0,20,0.69,419,2,769,right,0,False,desktop,chrome,windows,8f850a48-e55b-43b3-ae93-20fe8a06b899
580052ad,2025-03-30T07:12:57.863582,5974,2,49,64,0.74,72,0,100,right,5,False,desktop,chrome,linux,de476796-3e57-4f75-8003-f5df12064075
9f895966,2025-03-30T02:47:44.863582,8336,4,29,80,0.45,380,3,686,left,5,False,desktop,edge,ios,63e4d549-8548-432e-89ba-f6c5aa007703
3f671996,2025-03-29T21:45:08.863582,2504,8,18,72,0.48,431,3,224,left,3,True,desktop,chrome,windows,15e20863-7bf3-422c-ad06-fd73b1b9b1c3
b073c160,2025-03-30T05:27:56.863582,5211,5,11,93,0.3,346,1,798,right,3,False,desktop,firefox,macos,f2f0d1c7-5597-4788-a1d1-d38a45344624
85eef898,2025-03-30T02:46:12.863582,2486,5,23,83,0.13,513,0,43,left,1,False,mobile,safari,linux,61bd82fc-9f04-4bef-908d-5b5c2c3caf1e
d7aec6ba,2025-03-30T02:33:55.863582,8627,10,44,8,1.0,370,0,388,right,5,True,mobile,chrome,android,38fe127a-356a-4435-b2eb-c947526e2107
62f860e8,2025-03-30T04:33:25.863582,5288,9,8,14,0.83,543,1,678,right,5,True,desktop,edge,macos,bda1c43e-97b3-4dbf-bc85-295ea816d64d
2c2ee41f,2025-03-30T10:27:01.863582,8894,6,9,30,0.81,362,2,705,right,0,True,tablet,chrome,macos,9b78d8c3-c29b-4dd9-8662-2eb5142740e5
580aa38b,2025-03-30T05:18:49.863582,5788,5,49,49,0.11,124,2,245,stationary,2,True,tablet,edge,ios,deee7e89-1845-43f1-8d5c-1aa96d0052e4
7da737e2,2025-03-29T23:30:15.863582,3822,10,24,90,0.68,564,0,52,right,0,False,tablet,edge,ios,680dff0a-299a-45a9-a304-ced46a04c2f5
b79edea6,2025-03-30T08:58:50.863582,7837,5,17,94,0.77,386,3,328,left,2,False,mobile,firefox,linux,6b9ec086-02ea-4ac0-984f-571ebaa750ee
612829ea,2025-03-30T09:44:45.863582,9741,7,39,100,0.38,132,2,727,left,4,False,mobile,chrome,ios,2a3a50b5-dcb7-4a96-9e1d-16dc02d0c2a7
539cc132,2025-03-30T02:57:13.863582,5203,2,10,41,0.41,431,2,469,left,4,False,mobile,edge,macos,f9d6631e-ddb1-40c9-bae4-37edada59088
